vector,label
"[-0.07406177 -0.08983994  0.64825237 -0.03938018  0.2526927  -0.18562375
  0.16934577  0.6596994  -0.4968573  -0.13464332  0.6380547   0.08016451
  0.43113264 -0.10159703  0.3573628   0.12973237  1.2499474  -0.31713793
 -0.5581     -0.5346412 ]",0
"[ 0.04589566 -0.02376674  0.6468236  -0.02374566  0.24084555 -0.11395396
  0.25553468  0.63688385 -0.47164077 -0.07493574  0.62233007  0.10416803
  0.365209   -0.10864275  0.41891202  0.06330299  1.1672992  -0.3755717
 -0.4552412  -0.603347  ]",1
"[ 0.02189592 -0.11654145  0.6456296  -0.09197996  0.17583592 -0.12463174
  0.10957926  0.52441555 -0.49287263 -0.04613451  0.61075115  0.1079942
  0.4620345  -0.16305971  0.51168495  0.13746741  1.1594282  -0.32859302
 -0.5227531  -0.5613912 ]",0
"[-0.016427   -0.1352576   0.6934338  -0.02781637  0.18984397 -0.1929676
  0.22480631  0.5303669  -0.5205519  -0.04422346  0.6071542   0.00702825
  0.45951253 -0.15988593  0.44806677  0.12695171  1.2672186  -0.3410988
 -0.5296842  -0.59590316]",0
"[-0.05882468 -0.00200542  0.54609287 -0.1073802   0.2858228  -0.0552508
  0.12535693  0.5805193  -0.34755498  0.0087506   0.6667781   0.17098378
  0.36547247 -0.18732588  0.37702808  0.1601709   1.0861855  -0.32087156
 -0.37084848 -0.63955635]",1
"[-0.09708469 -0.05680846  0.6699033   0.00820931  0.1321582  -0.13732594
  0.20163663  0.58988506 -0.5335277  -0.0540824   0.66963375  0.07106528
  0.36347193 -0.21384384  0.3869758   0.10684794  1.2847304  -0.30786285
 -0.44281864 -0.5864438 ]",0
"[ 0.02130148  0.11492453  0.62866646  0.02762502  0.21907604 -0.09255624
  0.23389402  0.71192664 -0.34815004  0.00850816  0.60441136  0.19526151
  0.29727203 -0.16090636  0.36682022  0.05470713  1.0820143  -0.35432336
 -0.36796996 -0.6278863 ]",1
"[-0.11055276 -0.03319452  0.6300817   0.07540565  0.12755424 -0.09625576
  0.25689122  0.5942202  -0.5364956  -0.1152088   0.7600208   0.05149716
  0.372057   -0.23055544  0.36165434  0.1609653   1.3575008  -0.22213182
 -0.56201404 -0.55970955]",1
"[-0.07728151 -0.06445871  0.58415514  0.01111723  0.1276064  -0.167887
  0.23170382  0.5659925  -0.4592599  -0.06749026  0.71874654  0.00781338
  0.40309536 -0.17870367  0.42139184  0.1746634   1.2969579  -0.24539882
 -0.51453453 -0.62072396]",0
"[ 0.04385414  0.08488879  0.6663711   0.00302584  0.26316702 -0.12803231
  0.25238237  0.6676017  -0.46970725 -0.07977974  0.65204054  0.11097515
  0.37438133 -0.14328378  0.3234188   0.13880688  1.2019457  -0.29499853
 -0.44279075 -0.57445985]",1
"[-0.09444717 -0.043511    0.60897446  0.00220478  0.19255966 -0.11382442
  0.31622836  0.63701296 -0.49228823  0.0493396   0.69000536  0.06387641
  0.35351235 -0.16253068  0.32176444  0.215323    1.2628379  -0.23288439
 -0.3906887  -0.6472054 ]",1
"[-0.10250957 -0.08356344  0.5595187  -0.04836057  0.14561847 -0.16537581
  0.33113122  0.5937614  -0.5112563   0.04517669  0.7463954   0.01299709
  0.2714848  -0.26254514  0.35622647  0.12604044  1.235301   -0.3426878
 -0.4297745  -0.6864337 ]",1
"[ 0.0399666  -0.11528225  0.716827   -0.0764975   0.1499391  -0.1199545
  0.16225472  0.70559233 -0.40464732 -0.04899948  0.5951689   0.22331074
  0.3342605  -0.07636207  0.4016762   0.07113572  1.1030594  -0.32271352
 -0.4080083  -0.56215006]",1
"[-0.03622201 -0.11385699  0.69261354 -0.0643518   0.15712096 -0.19144769
  0.2724739   0.6329594  -0.5442407  -0.04222266  0.66747373  0.05511059
  0.34087887 -0.21993427  0.32361972  0.15133937  1.1984203  -0.3388137
 -0.43633506 -0.60677505]",1
"[ 0.04251679 -0.0349745   0.69399256 -0.03901869  0.17653665 -0.06099889
  0.11137226  0.58397496 -0.51675546 -0.12533018  0.6477355   0.23613375
  0.44940484 -0.13134204  0.48750606  0.11156551  1.152089   -0.2760906
 -0.42014223 -0.56333   ]",0
"[ 0.04162518 -0.0457526   0.6486284  -0.08371628  0.21848682 -0.15704218
  0.23608877  0.6424257  -0.40565026 -0.03740781  0.58815163  0.16686533
  0.37855256 -0.11164111  0.3779447   0.13447072  1.1549528  -0.30836475
 -0.4377261  -0.5869923 ]",1
"[ 0.04495281 -0.08985169  0.62305826 -0.04931366  0.25733107 -0.08126829
  0.15999795  0.5448891  -0.41327032 -0.0521897   0.55779827  0.11395559
  0.43156597 -0.07101489  0.47564217  0.06990684  1.1004258  -0.3903976
 -0.4812972  -0.5999834 ]",0
"[ 0.03508047  0.06763756  0.6201048  -0.02169484  0.3097777  -0.1748032
  0.28602442  0.71166086 -0.41422868 -0.10745203  0.5507384   0.0964776
  0.36240467 -0.09711143  0.30706567  0.13186081  1.1794419  -0.36309364
 -0.46192834 -0.588275  ]",1
"[-0.24208513  0.06519244  0.53175527  0.10641083  0.08142335 -0.20496269
  0.33206257  0.5366657  -0.60552216 -0.13639943  0.85826534 -0.15884207
  0.2511422  -0.3564789   0.40184343  0.22540511  1.488282   -0.26110893
 -0.6029783  -0.68714356]",0
"[-0.04921336  0.02869347  0.68251103 -0.03945627  0.23559208 -0.16181932
  0.22409463  0.7492672  -0.49210048 -0.13716622  0.65650034  0.04231481
  0.27860242 -0.20944512  0.24590679  0.10999735  1.215121   -0.382686
 -0.4163845  -0.58524096]",1
"[-0.11573081 -0.02717858  0.609025    0.03717298  0.1729114  -0.17728643
  0.2556092   0.56913525 -0.5210845  -0.04585859  0.7250012  -0.07449554
  0.3385577  -0.22400476  0.3801429   0.19155863  1.3664638  -0.27987528
 -0.46748552 -0.6202574 ]",1
"[-0.07808055 -0.0807681   0.56206644  0.06258657  0.1866875  -0.07108048
  0.3039463   0.6112299  -0.50320745 -0.10574592  0.7148026  -0.00695825
  0.32572624 -0.18734343  0.4155626   0.2141845   1.2782944  -0.32993785
 -0.4648478  -0.58077025]",1
"[-0.11477917 -0.01532001  0.5321936  -0.06820539  0.22808392 -0.12579475
  0.21209241  0.63681585 -0.52413183 -0.13015637  0.7323757   0.03172045
  0.29325074 -0.23370785  0.27835828  0.21203811  1.2443637  -0.30540395
 -0.49103823 -0.60923386]",0
"[-0.02811576  0.00419054  0.64694786 -0.05700029  0.2297641  -0.05969844
  0.15593421  0.677783   -0.45195895 -0.08431013  0.6279892   0.12654257
  0.3500728  -0.15878801  0.34459108  0.13432696  1.1701186  -0.31813672
 -0.43417346 -0.57632947]",1
"[ 0.02938427 -0.00486219  0.55640423  0.10485599  0.34244254 -0.08477938
  0.4140705   0.6989831  -0.47667077 -0.04631007  0.6147624  -0.00434045
  0.36718684 -0.04194605  0.27903008  0.27604672  1.1682522  -0.33010596
 -0.4751009  -0.7075165 ]",0
"[ 2.1826997e-03 -6.9273293e-02  7.0473582e-01 -8.5538381e-04
  1.4261369e-01 -1.3541833e-01  1.0874929e-01  6.0974991e-01
 -4.0678173e-01 -1.1203251e-01  6.1772537e-01  2.0268208e-01
  3.5686108e-01 -1.4040640e-01  4.8080912e-01  7.7755280e-02
  1.2266573e+00 -2.7530512e-01 -4.1651011e-01 -5.3700715e-01]",0
"[ 0.00710627 -0.00402995  0.5333156   0.02437992  0.35935596 -0.02781535
  0.33461618  0.5727014  -0.42845097  0.04829261  0.6376403  -0.00358218
  0.34262916 -0.11588641  0.34188437  0.08588094  1.2046189  -0.33522913
 -0.46258223 -0.7198823 ]",0
"[-0.16478054 -0.10740817  0.6700177   0.05681601  0.12857229 -0.14078325
  0.34792167  0.7383574  -0.4375906   0.0344997   0.6789185  -0.02218546
  0.2709778  -0.16151425  0.325814    0.2072087   1.3061393  -0.2859348
 -0.3669834  -0.6305927 ]",0
"[-8.24757442e-02 -4.95365560e-02  5.96889555e-01  6.59705997e-02
  2.41343364e-01 -2.39421815e-01  4.15140152e-01  5.98112106e-01
 -5.16267180e-01 -1.23469334e-03  8.19068372e-01 -1.18697114e-01
  2.55442947e-01 -2.21812427e-01  2.67751366e-01  3.01329881e-01
  1.34730911e+00 -2.06127033e-01 -4.32288796e-01 -6.87371790e-01]",1
"[-0.11222618 -0.0237329   0.59179443  0.0252382   0.26009956 -0.11802259
  0.32797846  0.6671664  -0.4918387  -0.09155007  0.7405834  -0.05604141
  0.28192008 -0.1587013   0.29283458  0.23190664  1.3002325  -0.27042592
 -0.4160066  -0.6600303 ]",0
"[-0.03508481 -0.0210381   0.60586464 -0.0217624   0.33556214 -0.08422377
  0.30745965  0.7398174  -0.37500766 -0.07043974  0.52903354  0.10868748
  0.35850015 -0.09020934  0.30601948  0.12905528  1.1918118  -0.33408645
 -0.38597056 -0.63938445]",1
"[-4.2887501e-02  1.2090101e-05  6.7662668e-01  9.6814223e-03
  2.2300906e-01 -1.6517544e-01  2.7055150e-01  7.0046711e-01
 -5.1934433e-01 -1.0738337e-01  6.6976893e-01  6.2148057e-02
  3.6157271e-01 -1.7711829e-01  3.1578842e-01  1.2739487e-01
  1.2778263e+00 -2.8052089e-01 -4.3788040e-01 -5.9375918e-01]",0
"[-5.42646907e-02  1.17703143e-03  5.41998208e-01  7.50106722e-02
  2.65688807e-01 -1.12699628e-01  2.83516169e-01  6.86294615e-01
 -5.42804301e-01 -1.70704171e-01  7.83307433e-01  1.21537745e-02
  3.26439977e-01 -1.76033229e-01  3.54449064e-01  3.12987417e-01
  1.24584103e+00 -2.44817495e-01 -4.70138431e-01 -6.18096352e-01]",0
"[-0.00642108 -0.04257217  0.66027325  0.00977153  0.2304528  -0.06136893
  0.19008708  0.6364913  -0.4566567  -0.09233944  0.6018481   0.14208359
  0.38418365 -0.11748917  0.44780567  0.05747768  1.1764835  -0.37702644
 -0.44163042 -0.5809038 ]",1
"[-0.01980149 -0.07139418  0.6618496  -0.0062575   0.20657891 -0.10540953
  0.18583268  0.6555648  -0.46122995 -0.05212661  0.6813187   0.0681492
  0.3618378  -0.19414653  0.37444335  0.27996287  1.1563245  -0.21104042
 -0.44658485 -0.6292374 ]",1
"[-0.06005008 -0.08816706  0.6146851   0.02684529  0.31653664 -0.08342363
  0.32658905  0.65911096 -0.44974357 -0.14354087  0.673385    0.05597674
  0.40129447 -0.18386519  0.33246496  0.18865333  1.320901   -0.26386645
 -0.44179884 -0.658696  ]",1
"[-8.8027112e-02 -1.2290413e-03  6.4021820e-01  1.2543818e-01
  3.2425618e-01 -1.4178863e-01  2.8658208e-01  6.5253615e-01
 -4.5300689e-01 -1.2707175e-01  5.9665602e-01 -2.1529740e-02
  2.9400617e-01 -1.5232195e-01  3.8987085e-01  4.7899760e-02
  1.3687812e+00 -4.0077266e-01 -4.1409475e-01 -5.8707339e-01]",1
"[-0.02612433 -0.01008014  0.67515504  0.04877017  0.20182441 -0.1798331
  0.32285047  0.57798153 -0.4873017  -0.04211835  0.6998408   0.02183579
  0.32686752 -0.18138127  0.38979393  0.19710761  1.2698289  -0.2532952
 -0.46648028 -0.6259513 ]",1
"[-0.12053204 -0.08666161  0.7138878  -0.01140005  0.09644499 -0.19757335
  0.23409297  0.65558124 -0.4723764  -0.02505613  0.6539926   0.03651041
  0.30202737 -0.23256849  0.37230188  0.17364384  1.2866488  -0.29852065
 -0.434968   -0.5610891 ]",1
"[-0.06757862  0.00661158  0.59956473 -0.0152101   0.15968415 -0.1575714
  0.2825672   0.6239279  -0.49585935 -0.03360907  0.7685183   0.07365724
  0.33228782 -0.24135299  0.29304215  0.2107693   1.2716106  -0.20743003
 -0.44580373 -0.6327861 ]",0
"[ 0.09660975  0.0233937   0.56933904  0.00175264  0.35097387 -0.0174996
  0.27834854  0.5445498  -0.34896582 -0.14646748  0.6126677   0.15715902
  0.36082712 -0.07259689  0.4490564   0.13495608  1.1111245  -0.33619747
 -0.44631973 -0.70425445]",1
"[ 0.01498689 -0.01549459  0.7404862   0.04338557  0.17500593 -0.16025433
  0.21304265  0.6816171  -0.479597   -0.10612373  0.60307705  0.14952308
  0.34611422 -0.15935123  0.3934072   0.11925078  1.2226413  -0.29628417
 -0.42941245 -0.532907  ]",1
"[-0.03298332 -0.05244872  0.6679388  -0.04033693  0.11345964 -0.14736998
  0.22384527  0.6620546  -0.53973407 -0.06620321  0.65515363  0.12433635
  0.36675346 -0.17167237  0.3995655   0.15899219  1.2039456  -0.29955068
 -0.45971397 -0.53056526]",1
"[-0.13273674  0.06882997  0.5889206   0.04521232  0.26910827 -0.1202691
  0.23750052  0.7381797  -0.45949173 -0.10923205  0.7379555   0.03562957
  0.23798068 -0.21914165  0.26662675  0.12347782  1.371061   -0.27902007
 -0.40027586 -0.657073  ]",0
"[-6.59968657e-03 -1.09361961e-01  6.82331026e-01  6.12774107e-04
  2.05046356e-01 -1.87629893e-01  2.57130176e-01  6.71263218e-01
 -4.28062648e-01 -4.01357450e-02  5.91069579e-01  1.01111256e-01
  3.37449253e-01 -1.28745839e-01  4.01533484e-01  7.33456835e-02
  1.20525324e+00 -3.58997315e-01 -4.20263052e-01 -5.80997705e-01]",1
"[ 0.00855405  0.10891834  0.6568131  -0.02221327  0.25996578 -0.15530083
  0.19589609  0.65718055 -0.44550785  0.01503809  0.73970157  0.07109694
  0.30199683 -0.22697107  0.28593653  0.08566395  1.1430094  -0.29525793
 -0.399131   -0.6199381 ]",0
"[-0.01255239  0.00990824  0.5526209   0.00184816  0.26035807 -0.12881435
  0.2796782   0.64154166 -0.41933468 -0.05024024  0.6488159   0.07464483
  0.36798546 -0.17836797  0.32445785  0.16421224  1.2492137  -0.31572086
 -0.4336303  -0.6693479 ]",0
"[-0.10136875 -0.0267895   0.646344    0.05803193  0.3032847  -0.1424596
  0.24439086  0.68055326 -0.42495334 -0.06463489  0.687427    0.05703007
  0.2913506  -0.22662428  0.31981704  0.07776548  1.2975363  -0.26689613
 -0.4330859  -0.6150156 ]",1
"[-0.12313239 -0.06179095  0.69500214 -0.0934419   0.27901796 -0.21768701
  0.29465905  0.7457588  -0.44904155 -0.05776228  0.6420203   0.05030178
  0.3892061  -0.2011206   0.26538497  0.11355546  1.2405138  -0.32706788
 -0.44813704 -0.5971756 ]",0
"[-0.2133788  -0.08325785  0.62040377  0.08458793  0.26322958 -0.10396588
  0.39535284  0.6785649  -0.48048496 -0.09912211  0.65517795  0.01419005
  0.38962358 -0.15318632  0.31605574  0.1746256   1.3736612  -0.25227833
 -0.45942232 -0.65775275]",0
"[-0.07896152 -0.11889371  0.58555305 -0.00813636  0.26671728 -0.16022144
  0.3387897   0.5832521  -0.5446802  -0.08534802  0.84494525 -0.12881494
  0.34094426 -0.2023435   0.30640224  0.19471648  1.3105913  -0.23245531
 -0.49738392 -0.70062417]",0
"[-0.17546827 -0.04560535  0.6048273  -0.11534828  0.18137456 -0.11010173
  0.16728386  0.635833   -0.41586995  0.03744876  0.80805635  0.02861449
  0.25330696 -0.2529644   0.29928935  0.20421202  1.2063843  -0.25776038
 -0.36369377 -0.6797787 ]",1
"[-0.04022186  0.00692813  0.7805843  -0.01278299  0.28851014 -0.15601577
  0.14812146  0.62915933 -0.45898297 -0.06329306  0.70730495  0.10175495
  0.2624131  -0.23090538  0.30471587  0.04300287  1.2665333  -0.29558864
 -0.3405481  -0.65021   ]",1
"[-0.06529184  0.04588179  0.61082447  0.00724626  0.1693162  -0.1174384
  0.26338542  0.66387707 -0.46524936 -0.09566783  0.76655567  0.08264762
  0.31309825 -0.20706186  0.29917982  0.14723437  1.2578654  -0.22082567
 -0.45166773 -0.6389411 ]",1
"[-0.04263985 -0.01815986  0.6446372   0.02909302  0.21395592 -0.03002699
  0.20666587  0.64151245 -0.58348274 -0.12335005  0.6789171   0.03756143
  0.41553068 -0.19552682  0.34375983  0.13316053  1.2036271  -0.35853672
 -0.45694935 -0.5673909 ]",0
"[-0.12979744 -0.01442388  0.64005554  0.10024673  0.2280472  -0.2139021
  0.34610486  0.5877726  -0.46850514 -0.0063916   0.64182    -0.01276758
  0.32571217 -0.1403178   0.3420465   0.11808611  1.3665193  -0.2814016
 -0.5270121  -0.63331634]",0
"[-0.09215777  0.04667277  0.6510218   0.15255605  0.35802373 -0.04870665
  0.32560092  0.5607652  -0.50104433 -0.067787    0.7390484   0.04136917
  0.347692   -0.23331358  0.34915155  0.07965793  1.3089869  -0.24740908
 -0.38912192 -0.67939854]",1
"[-0.11104418  0.0543738   0.6968662   0.10796735  0.24846391 -0.07286389
  0.27259463  0.68009335 -0.57495403 -0.08251426  0.66711503  0.05500416
  0.34029147 -0.18020959  0.3639237   0.18684337  1.2757337  -0.2774778
 -0.38207987 -0.578338  ]",1
"[-0.04773682 -0.00634759  0.7424392  -0.06653793  0.17382479 -0.21856235
  0.2923913   0.76341665 -0.502022   -0.06444401  0.6715229   0.07806978
  0.27119708 -0.17360443  0.31225395  0.17726257  1.1981645  -0.2975497
 -0.35516214 -0.5915034 ]",0
"[-0.04908518 -0.0284519   0.636574    0.03294775  0.27731222 -0.16264077
  0.36566493  0.6410331  -0.5108268  -0.04702729  0.68912673 -0.08021179
  0.2923966  -0.18127814  0.2426039   0.1364423   1.3164443  -0.36098838
 -0.41280973 -0.68330234]",1
"[-0.08220544 -0.05019816  0.6319355  -0.09067779  0.24380846 -0.12819861
  0.19118027  0.6533214  -0.39968693 -0.01567293  0.680162    0.08275636
  0.36873367 -0.20262787  0.29260656  0.09522606  1.1858776  -0.31339213
 -0.40621012 -0.65052325]",0
